Team,Rider,Date,Race,Class,RaceURL
MASTRO BIRRAIO GCP,KUBIS Lukas,2026-08-16,ADAC Cyclassics,1.UWT,race/cyclassics-hamburg/2026
MASTRO BIRRAIO GCP,KUBIS Lukas,2026-08-19,Renewi Tour,2.UWT,race/renewi-tour/2026
PANETTERIA BERGERO,CICCONE Giulio,2026-09-11,Grand Prix Cycliste de Québec,1.UWT,race/gp-quebec/2026
PANETTERIA BERGERO,CICCONE Giulio,2026-09-13,Grand Prix Cycliste de Montréal,1.UWT,race/gp-montreal/2026
PANETTERIA BERGERO,SKJELMOSE JENSEN Mattias,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
PANETTERIA BERGERO,FORTUNATO Lorenzo,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
PANETTERIA BERGERO,FORTUNATO Lorenzo,2026-10-03,Giro dell'Emilia,1.Pro,race/giro-dell-emilia/2026
PANETTERIA BERGERO,TIBERI Antonio,2026-09-09,Giro della Toscana - Memorial Alfredo Martini,1.1,race/giro-di-toscana/2026
PANETTERIA BERGERO,TIBERI Antonio,2026-09-10,Gran Premio città di Peccioli - Coppa Sabatini,1.Pro,race/gp-citta-di-peccioli/2026
PANETTERIA BERGERO,TIBERI Antonio,2026-09-13,Trofeo Matteotti,1.1,race/trofeo-matteotti/2026
PANETTERIA BERGERO,TIBERI Antonio,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
PANETTERIA BERGERO,BALLERINI Davide,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
PANETTERIA BERGERO,DAINESE Alberto,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
PANETTERIA BERGERO,FANCELLU Alessandro,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
PANETTERIA BERGERO,AUGUST Andrew,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
PANETTERIA BERGERO,TUCKWELL Luke,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
OFFICINA BOCCETTINI CC,CORT NIELSEN Magnus,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
OFFICINA BOCCETTINI CC,MULUBRHAN Henok,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
OFFICINA BOCCETTINI CC,PELLIZZARI Giulio,2026-09-06,GP Industria & Artigianato,1.Pro,race/gp-industria-artigianato/2026
OFFICINA BOCCETTINI CC,PELLIZZARI Giulio,2026-09-10,Gran Premio città di Peccioli - Coppa Sabatini,1.Pro,race/gp-citta-di-peccioli/2026
OFFICINA BOCCETTINI CC,PELLIZZARI Giulio,2026-09-12,Memorial Marco Pantani,1.1,race/memorial-marco-pantani/2026
OFFICINA BOCCETTINI CC,PELLIZZARI Giulio,2026-10-03,Giro dell'Emilia,1.Pro,race/giro-dell-emilia/2026
OFFICINA BOCCETTINI CC,PELLIZZARI Giulio,2026-10-06,Tre Valli Varesine,1.Pro,race/tre-valli-varesine/2026
OFFICINA BOCCETTINI CC,PELLIZZARI Giulio,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
OFFICINA BOCCETTINI CC,ZANA Filippo,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
